symbol,companyName,exchange,marketCap,price,ceo,enterpriseValue
PEB-PH,Pebblebrook Hotel Trust,NYSE,2097053647.0,17.92,Jon E. Bortz,
DRVN,Driven Brands Holdings Inc.,NASDAQ,2095146737.0,12.74,Daniel R. Rivera,6426997180.0
INFQ,"Infleqtion, Inc.",NYSE,2092708630.0,12.06,Matthew Kinsella,437743558.0
SYBT,"Stock Yards Bancorp, Inc.",NASDAQ,2090882690.0,70.85,James A. Hillebrand,2316607850.0
DRH,DiamondRock Hospitality Company,NASDAQ,2087955750.0,10.25,Jeffrey John Donnelly,2965608323.0
COTY,Coty Inc.,NYSE,2085614220.0,2.37,Markus Strobel,8043365000.0
ADPT,Adaptive Biotechnologies Corporation,NASDAQ,2083376460.0,13.53,Chad Robins,2674053289.0
CIMP,Chimera Investment Corporation,NYSE,2079065000.0,25.51,Phillip John Kardis,
CTOS,"Custom Truck One Source, Inc.",NYSE,2076461656.0,9.13,Ryan McMonagle,3716209600.0
DCO,Ducommun Incorporated,NYSE,2074186960.0,138.4,Stephen G. Oswald,1721973460.0
MBIN,Merchants Bancorp,NASDAQ,2068294500.0,45.0,Michael F. Petrie,5389138033.0
SPSC,"SPS Commerce, Inc.",NASDAQ,2063228262.0,55.18,Chadwick Collins,3235009530.0
EVCM,EverCommerce Inc.,NASDAQ,2059777200.0,11.6,Eric Richard Remer,2604141910.0
BRBR,"BellRing Brands, Inc.",NYSE,2056915800.0,17.54,Darcy Horn Davenport,5637515000.0
DGII,Digi International Inc.,NASDAQ,2055449894.0,54.65,Ronald E. Konezny,1505478140.0
VVX,"V2X, Inc.",NYSE,2051631261.0,65.61,Jeremy C. Wensinger,2522334450.0
XPRO,Expro Group Holdings N.V.,NYSE,2051200980.0,18.03,Michael Jardon,1562360438.0
ALG,Alamo Group Inc.,NYSE,2048836106.0,168.37,Robert Hureau,1928092660.0
DX,"Dynex Capital, Inc.",NYSE,2045606562.0,13.5,Byron L. Boston,14721256192.0
SEM,Select Medical Holdings Corporation,NYSE,2045061767.0,16.49,Thomas Mullin,5511617100.0
DFTX,"Definium Therapeutics, Inc.",NASDAQ,2042814684.0,20.49,Robert Barrow,938259671.0
GNL,"Global Net Lease, Inc.",NYSE,2039050768.0,9.52,Edward Michael Weil Jr.,4315747000.0
GRAL,"GRAIL, Inc.",NASDAQ,2038296471.0,49.69,Robert Ragusa,2994037548.0
NEXT,NextDecade Corporation,NASDAQ,2037311700.0,7.69,Matthew K. Schatzman,9894896280.0
RC-PE,Ready Capital Corporation,NYSE,2033544315.0,12.485,Thomas Edward Capasse,
CXW,"CoreCivic, Inc.",NYSE,2031134502.0,20.54,Patrick Swindle,3153597080.0
GT,The Goodyear Tire & Rubber Company,NASDAQ,2019944850.0,7.05,Mark W. Stewart,8977880000.0
HTO,H2O America,NASDAQ,2018538235.0,57.67,Andrew F. Walters,3734782734.0
IMNM,"Immunome, Inc.",NASDAQ,2016404419.0,22.95,Clay Siegall,1226671534.0
HCI,"HCI Group, Inc.",NYSE,2016091577.0,155.18,Pareshbhai Suryakant Patel,1042459000.0
NGL,NGL Energy Partners LP,NYSE,2014458482.0,16.27,H. Michael Krimbill,3677549020.0
NWBI,"Northwest Bancshares, Inc.",NASDAQ,2011102500.0,13.75,Louis J. Torchio,1973083592.0
OCUL,"Ocular Therapeutix, Inc.",NASDAQ,2004941285.0,9.21,Pravin U. Dugel,1615834603.0
GCMG,GCM Grosvenor Inc.,NASDAQ,2003353600.0,10.72,Michael Jay Sacks,826753000.0
NCNO,"nCino, Inc.",NASDAQ,2002399506.0,17.46,Sean Desmond,2600388059.0
TIC,"TIC Solutions, Inc.",NYSE,1995311241.0,9.02,Benjamin Heraud,2856524256.0
SKWD,"Skyward Specialty Insurance Group, Inc.",NASDAQ,1995083837.0,44.79,Andrew Scott Robinson,2018599934.0
PBI-PB,Pitney Bowes Inc. NT 43,NYSE,1991039988.0,21.0,Lance E. Rosenzweig,3765104370.0
DXC,DXC Technology Company,NYSE,1987889600.0,11.71,Raul J. Fernandez,5831594000.0
